Name,Veil_0,Veil_1,Veil_2,Veil_3,Munich_0,Munich_1,Munich_2,Munich_3,Meiringen_0,Meiringen_1,Meiringen_2,Meiringen_3
OGATA Yoshiyuki,1,1,1,1,,,,,,,,
NARASAKI Tomoa,1,1,1,0,,,,,1,1,1,0
CHON Jongwon,1,1,0,1,0,1,0,0,1,0,0,0
HOJER Jan,1,1,0,0,0,1,0,1,,,,
ONDRA Adam,1,1,0,0,1,1,1,0,1,1,1,1
MCCOLL Sean,0,1,0,0,,,,,,,,
SCHUBERT Jakob,,,,,0,1,1,1,,,,
RUBTSOV Aleksey,,,,,0,1,1,0,,,,
PEHARC Anze,,,,,0,1,0,0,,,,
SUGIMOTO Rei,,,,,,,,,1,1,0,0
FUJII Kokoro,,,,,,,,,0,1,0,0
TAKATA Tomoaki,,,,,,,,,1,0,0,0
